Theme,Number,Title,Journal/Conference,Date,Author,Link,,,
"<a id=""neural-network"">Neural Network</a><br />",1,Dropout: A Simple Way to Prevent Neural Networks from Overfitting,JMLR 2014,2014-01-01,Nitish Srivastava et al,[Link](https://www.cs.toronto.edu/~rsalakhu/papers/srivastava14a.pdf),,,
,2,Convolutional Neural Networks for Sentence Classification,EMNLP? 2014,2014-08-25,Yoon Kim et al,[Link](http://arxiv.org/abs/1408.5882v2),,,
,3,Permutation Invariant Training of Deep Models for Speaker-Independent Multi-talker Speech Separation,,2016-07-01,Dong Yu et al,[Link](http://arxiv.org/abs/1607.00325v2),,,
,4,Accurate, Large Minibatch SGD: Training ImageNet in 1 Hour,NeurIPS 2017,2017-06-08,Priya Goyal et al,[Link](http://arxiv.org/abs/1706.02677v2),,
,5,Don't Decay the Learning Rate, Increase the Batch Size,ICLR? 2018,2017-11-01,Samuel L. Smith et al,[Link](http://arxiv.org/abs/1711.00489v2),,
,6,A disciplined approach to neural network hyper-parameters: Part 1 -- learning rate, batch size, momentum, and weight decay,PBML,2018-03-26,Leslie N. Smith et al,[Link](http://arxiv.org/abs/1803.09820v2)
,7,Dying ReLU and Initialization: Theory and Numerical Examples,,2019-03-15,Lu Lu et al,[Link](http://arxiv.org/abs/1903.06733v3),,,
,8,Permute, Quantize, and Fine-tune: Efficient Compression of Neural Networks,PMLR 2021,2020-10-29,Julieta Martinez et al,[Link](http://arxiv.org/abs/2010.15703v3),
"<a id=""#benchmark"">Benchmark</a>",9,BLEU: a method for automatic evaluation of machine translation,ACL 2002,2002-07-01,Kishore Papineni et al,[Link](https://dl.acm.org/doi/10.3115/1073083.1073135),,,
,10,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,,2018-04-20,Alex Wang et al,[Link](http://arxiv.org/abs/1804.07461v3),,,
,11,ROUGE: A Package for Automatic Evaluation of Summaries,Artificial Intelligenc Volume 299,2021-10-01,Chin-Yew Lin et al,[Link](https://aclanthology.org/W04-1013/),,,
"<a id=""#word-embedding"">Word Embedding</a>",12,Efficient Estimation of Word Representations in Vector Space,,2013-01-16,Tomas Mikolov et al,[Link](http://arxiv.org/abs/1301.3781v3),,,
,13,Linguistic Regularities in Continuous Space Word Representations,,2013-06-01,Tomas Mikolov et al,[Link](https://aclanthology.org/N13-1090/),,,
,14,Dear Sir or Madam, May I introduce the GYAFC Dataset: Corpus, Benchmarks and Metrics for Formality Style Transfer,,2018-03-17,Sudha Rao et al,[Link](http://arxiv.org/abs/1803.06535v2),
,15,SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing,ACL 2019,2018-08-19,Taku Kudo et al,[Link](http://arxiv.org/abs/1808.06226v1),,,
,16,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,AAAI 2020,2019-08-27,Nils Reimers et al,[Link](http://arxiv.org/abs/1908.10084v1),,,
,17,SimCSE: Simple Contrastive Learning of Sentence Embeddings,EMNLP? 2021,2021-04-18,Tianyu Gao et al,[Link](http://arxiv.org/abs/2104.08821v4),,,
,18,Self-Guided Contrastive Learning for BERT Sentence Representations,ACL? 2021,2021-06-03,Taeuk Kim et al,[Link](http://arxiv.org/abs/2106.07345v1),,,
,19,Contrastive Learning of Sentence Embeddings from Scratch,,2023-05-24,Junlei Zhang et al,[Link](http://arxiv.org/abs/2305.15077v2),,,
"<a id=""#explainable-artificial-intelligence"">Explainable Artificial Intelligence (XAI)</a>",20,Building Machines That Learn and Think Like People,NeurIPS 2016,2016-04-01,Brenden M. Lake et al,[Link](http://arxiv.org/abs/1604.00289v3),,,
,21,A Multiscale Visualization of Attention in the Transformer Model,ACL? 2019,2019-06-12,Jesse Vig et al,[Link](http://arxiv.org/abs/1906.05714v1),,,
,22,On the Stability of Fine-tuning BERT: Misconceptions, Explanations, and Strong Baselines,IEEE Open Journal of the Computer Society,2020-06-08,Marius Mosbach et al,[Link](http://arxiv.org/abs/2006.04884v3),
,23,Reliable Post hoc Explanations: Modeling Uncertainty in Explainability,,2020-08-11,Dylan Slack et al,[Link](http://arxiv.org/abs/2008.05030v4),,,
,24,Reward is enough,ICLR 2022,2021-10-01,David Silver et al,[Link](https://www.sciencedirect.com/science/article/pii/S0004370221000862),,,
"<a id=""#language-model"">Language Model</a>",25,Large-Scale Distributed Language Modeling,IEEE 2007,2007-04-05,Ahmad Emami et al,[Link](https://ieeexplore.ieee.org/document/4218031),,,
,26,Large Language Models in Machine Translation,Teaching and Learning in Higher Education,2007-06-01,Gloria Brown Wright et al,[Link](https://aclanthology.org/D07-1090/),,,
,27,Neural Machine Translation by Jointly Learning to Align and Translate,NeurIPS 2014,2014-09-01,Dzmitry Bahdanau et al,[Link](http://arxiv.org/abs/1409.0473v7),,,
,28,Sequence to Sequence Learning with Neural Networks,ICML 2015,2014-09-10,Ilya Sutskever et al,[Link](http://arxiv.org/abs/1409.3215v3),,,
,29,Neural Machine Translation of Rare Words with Subword Units,ICLR 2016,2015-08-31,Rico Sennrich et al,[Link](http://arxiv.org/abs/1508.07909v5),,,
,30,Continuous control with deep reinforcement learning,,2015-09-09,Timothy P. Lillicrap et al,[Link](http://arxiv.org/abs/1509.02971v6),,,
,31,Hierarchical Attention Networks for Document Classification,,2016-01-01,Zichao Yang et al,[Link](https://aclanthology.org/N16-1174/),,,
,32,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,,2016-09-26,Yonghui Wu et al,[Link](http://arxiv.org/abs/1609.08144v2),,,
,33,Learning to Ask: Neural Question Generation for Reading Comprehension,ACL? 2017,2017-04-29,Xinya Du et al,[Link](http://arxiv.org/abs/1705.00106v1),,,
,34,Style Transfer from Non-Parallel Text by Cross-Alignment,,2017-05-26,Tianxiao Shen et al,[Link](http://arxiv.org/abs/1705.09655v2),,,
,35,Attention Is All You Need,,2017-06-12,Ashish Vaswani et al,[Link](http://arxiv.org/abs/1706.03762v5),,,
,36,Adversarial Examples for Evaluating Reading Comprehension Systems,,2017-07-23,Robin Jia et al,[Link](http://arxiv.org/abs/1707.07328v1),,,
,37,Deep contextualized word representations,,2018-02-15,Matthew E. Peters et al,[Link](http://arxiv.org/abs/1802.05365v2),,,
,38,Training Tips for the Transformer Model,,2018-04-01,Martin Popel et al,[Link](http://arxiv.org/abs/1804.00247v2),,,
,39,Know What You Don't Know: Unanswerable Questions for SQuAD,ACL? 2018,2018-06-11,Pranav Rajpurkar et al,[Link](http://arxiv.org/abs/1806.03822v1),,,
,40,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,,2018-10-11,Jacob Devlin et al,[Link](http://arxiv.org/abs/1810.04805v2),,,
,41,Language Models are Unsupervised Multitask Learners,,2019-06-01,Alec Radford et al,[Link](https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe),,,
,42,SpanBERT: Improving Pre-training by Representing and Predicting Spans,,2019-07-24,Mandar Joshi et al,[Link](http://arxiv.org/abs/1907.10529v3),,,
,43,Alpaca: Intermittent Execution without Checkpoints,NeurIPS 2019,2019-09-13,Kiwan Maeng et al,[Link](http://arxiv.org/abs/1909.06951v1),,,
,44,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,ACL? 2020,2019-10-23,Colin Raffel et al,[Link](http://arxiv.org/abs/1910.10683v4),,,
,45,BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension,,2019-10-29,Mike Lewis et al,[Link](http://arxiv.org/abs/1910.13461v1),
,46,Improving Transformer Optimization Through Better Initialization,NeurIPS 2020,2020-01-01,Xiao Shi Huang et al,[Link](https://proceedings.mlr.press/v119/huang20f.html),,,
,47,Understanding the Difficulty of Training Transformers,,2020-04-17,Liyuan Liu et al,[Link](http://arxiv.org/abs/2004.08249v3),,,
,48,Finetuned Language Models Are Zero-Shot Learners,IEEE/RJS International Conference on Intelligent RObots and Systems,2021-09-03,Jason Wei et al,[Link](http://arxiv.org/abs/2109.01652v5),,,
,49,Post-Training with Interrogative Sentences for Enhancing BART-based Korean Question Generator,ACL 2022,2022-01-01,Gyu-Min Park et al,[Link](https://aclanthology.org/2022.aacl-short.26/),,,
,50,Super-NaturalInstructions: Generalization via Declarative Instructions on 1600+ NLP Tasks,EMNLP? 2022,2022-04-16,Yizhong Wang et al,[Link](http://arxiv.org/abs/2204.07705v3),,,
,51,Generative Language Models for Paragraph-Level Question Generation,EMNLP? 2022,2022-10-08,Asahi Ushio et al,[Link](http://arxiv.org/abs/2210.03992v3),,,
